# This is a continuation of trace file C:\Users\1\AppData\Local\1C\1cedtstart\projects\ЗаявкаДеск\.metadata\trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2026-06-28 20:59:17.258
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.839 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Reusing alive cached designer agent connection for infobase ЗаявкаДеск from the pool |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.840 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Retrieving data generation identifier from infobase ЗаявкаДеск configuration using existing designer session |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.840 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Sending to designer agent: config generation-id |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.869 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 212 | Reevaluating supported platform installations |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.870 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 212 | Reevaluating registered platform installations |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.872 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Loaded list of platform installations from store: 4 total |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.876 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Using previously stored enterprise platform installation to launch client: installation=FixedRuntimeResolvable [installation=com._1c.g5.v8.dt.platform.services.model.impl.RuntimeInstallationImpl@7972da9c (uuid: a3b70e27-1cfe-44a6-9fbd-a2453d156e3a, name: 1С:Предприятие 8.5.1.1150, typeId: com._1c.g5.v8.dt.platform.services.core.runtimeType.EnterprisePlatform, version: 8.5.1, build: 1150, location: file:///C:/Program%20Files%20(x86)/1cv8/8.5.1.1150/bin/, training: false, arch: x86)], project=P/ЗаявкаДеск, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@490ad82a (name: ЗаявкаДеск, uuid: a89c7344-87ba-4bf9-a6f1-6179cae0157d, external: false, orderInList: 33792.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3.27, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null) |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.880 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:ЗаявкаДеск, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@490ad82a (name: ЗаявкаДеск, uuid: a89c7344-87ba-4bf9-a6f1-6179cae0157d, external: false, orderInList: 33792.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3.27, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null), ][baseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0, requiresSynchronization=false] |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.883 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Reusing cached alive designer agent connection for infobase ЗаявкаДеск |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.887 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Running outside of designer session: Запуск тонкого клиента для информационной базы ЗаявкаДеск |
